CAS;Tipo_olor;Descriptor_1;Descriptor_2;Fuerza_Olor;Clacificacion;Presion_vapor;Area;Fuerza;smiles;nomenclature;Molecule
84-66-2;ND;0;0;0;disolvente;0.0021;2.7767;0.1;CCOC(=O)c1ccccc1C(=O)OCC;diethyl benzene-1,2-dicarboxylate;"<img data-content=""rdkit/molecule"" src=""data:image/png"
55418-52-5;floral;dulce;frambuesa;medio;aromatizante;0.002;0.0654;0.3;CC(=O)CCc1ccc2OCOc2c1;4-(1,3-Benzodioxol-5-yl)butan-2-one;"<img data-content=""rdkit/molecule"" src=""data:image/png"
125284-17-5;ND;0;0;0;0;0;0.1356;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
1000187-02-9;ND;0;0;0;0;0;0.0599;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
19903-73-2;ND;0;0;0;sustancia natural;0;3.66;0.1;C[C@@H]1CC[C@H]2C(C)(C)[C@H]3C[C@@]12CC[C@]3(C)O;;"<img data-content=""rdkit/molecule"" src=""data:image/png"
1000187-02-9;ND;0;0;0;0;0;0.0599;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
1000432-48-8;ND;0;0;0;0;0;0.0501;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
77-93-0;ND;0;0;0;disolvente;0.000175;0.5717;0.1;CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC;1,2,3-triethyl 2-hydroxypropane-1,2,3-tricarboxylate;"<img data-content=""rdkit/molecule"" src=""data:image/png"
24851-98-7;floral;frutal;citrico;medio;aromatizante;0.001;9.3675;0.3;CCCCCC1C(CCC1=O)CC(=O)OC;methyl 2-(3-oxo-2-pentylcyclopentyl)acetate;"<img data-content=""rdkit/molecule"" src=""data:image/png"
38349-21-2;ND;0;0;0;0;0;0.0609;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
64949-42-4;ND;0;0;0;0;0;0.0342;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
1000197-08-4;ND;0;0;0;0;0;4.5957;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
65405-77-8;floral;balsámico;metalico;medio;aromatizante;0.000246;3.2526;0.3;CC/C=C/CCOC(=O)c1ccccc1O;['hex-3-enyl 2-hydroxybenzoate', '[(E)-hex-3-enyl] 2-hydroxybenzoate'];"<img data-content=""rdkit/molecule"" src=""data:image/png"
127-43-5;orris;amaderado;polvoriento;medio;aromatizante;0.001;2.9828;0.3;CCC(=O)/C=C/C1=C(C)CCCC1(C)C;['1-(2,6,6-trimethyl-1-cyclohexenyl)pent-1-en-3-one', '(E)-1-(2,6,6-trimethyl-1-cyclohexenyl)pent-1-en-3-one'];"<img data-content=""rdkit/molecule"" src=""data:image/png"
24851-98-7;floral;frutal;citrico;medio;aromatizante;0.001;9.3675;0.3;CCCCCC1C(CCC1=O)CC(=O)OC;methyl 2-(3-oxo-2-pentylcyclopentyl)acetate;"<img data-content=""rdkit/molecule"" src=""data:image/png"
1000131-52-4;ND;0;0;0;0;0;0.2297;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
1000284-92-8;ND;0;0;0;0;0;0.067;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
2084-69-7;ND;0;0;0;0;0;0.0277;0.1;CC1CC(C)(C)c2ccc(C)cc2C1(C)C;1,1,2,4,4,7-hexamethyl-2,3-dihydronaphthalene;"<img data-content=""rdkit/molecule"" src=""data:image/png"
1000190-21-8;ND;0;0;0;0;0;1.6853;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
1000325-06-7;ND;0;0;0;0;0;0.191;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
127-43-5;orris;amaderado;polvoriento;medio;aromatizante;0.001;2.9828;0.3;CCC(=O)/C=C/C1=C(C)CCCC1(C)C;['1-(2,6,6-trimethyl-1-cyclohexenyl)pent-1-en-3-one', '(E)-1-(2,6,6-trimethyl-1-cyclohexenyl)pent-1-en-3-one'];"<img data-content=""rdkit/molecule"" src=""data:image/png"
42536-97-0;ND;0;0;0;0;0;0.038;0.1;CC/C=C/C[C@H]1[C@@H](CCC1=O)CC(=O)OC;methyl 2-[(1S,2S)-3-oxo-2-[(E)-pent-2-enyl]cyclopentyl]acetate;"<img data-content=""rdkit/molecule"" src=""data:image/png"
55741-10-1;ND;0;0;0;0;0;0.0825;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
1000348-48-8;ND;0;0;0;0;0;0.0242;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
1000330-77-1;ND;0;0;0;0;0;0.0225;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
67951-45-5;ND;0;0;0;0;0;0.0556;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
